"","log2FoldChange","padj","Factor"
"ko:K01681",-0.182376461376602,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01689",0.619787762374796,0.562729578160914,"Menthol_Menthol_vs_Control"
"ko:K01697",-0.0880097298652425,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K01758",0.23528404418284,0.99216739448942,"Menthol_Menthol_vs_Control"
"ko:K01875",0.308992287629686,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01881",0.650933279383892,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01889",-0.376017673560713,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01890",-0.254746853450653,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K01892",-0.522773505713773,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01893",-0.191627553172084,0.996531797145792,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.735413759710046,0.341707373655842,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.603253256069274,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02111",-2.07416373053605,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.118400579319205,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02146",-0.87926079966315,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02149",0.0581091338026531,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02152",-0.0532421148619844,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.308430852824098,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K02183",0.268756433749104,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K02219",0.494764682104148,0.975643509307983,"Menthol_Menthol_vs_Control"
"ko:K02267",-1.10813728131947,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02437",-0.00217815271573981,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02503",-1.4182211357194,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02635",-0.133762278723936,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02639",-0.958961812251182,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K02703",0.795652405293303,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02705",0.822288022789263,0.890997814273488,"Menthol_Menthol_vs_Control"
"ko:K02706",0.0235193385741071,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02725",-1.22335994010273,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02726",0.704624260423645,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02728",-0.806502616018657,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K02732",0.209927479723218,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02865",-0.627709336782326,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02866",-0.375046747888464,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02870",0.337710328466168,0.509111529241625,"Menthol_Menthol_vs_Control"
"ko:K02872",-0.876466019318425,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02873",0.36502725223136,0.884068956121065,"Menthol_Menthol_vs_Control"
"ko:K02877",0.615096131880191,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.382655516514577,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02882",-0.304535138420118,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.848234709511461,0.832007633248197,"Menthol_Menthol_vs_Control"
"ko:K02889",-0.139240314928903,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02891",-1.70395885757998,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02896",-0.322777230168431,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.378257945944618,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02900",-0.523107681929041,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.00246719719541663,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02905",0.193576989669804,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02908",0.781984341583159,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02910",0.0243183362109981,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.295236151900763,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02917",-0.455342193164906,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02918",0.185845041048381,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.32583280782605,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K02921",-1.35073029471784,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02923",-0.0668999379652138,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.555251126355755,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02929",-1.4332808321656,0.308134612661813,"Menthol_Menthol_vs_Control"
"ko:K02930",-0.623499501983296,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02932",0.0906494956597933,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02936",-0.26621054163265,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02937",1.366655434143,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.628320607182928,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K02941",-0.47129279580371,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.190412370413151,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02949",0.396351483457043,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02951",0.659794704022824,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K02953",0.728603858240948,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02955",0.0540068648533348,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02958",0.103880471203984,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K02962",-0.341646847185121,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K02966",0.179805019541259,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K02969",-1.42790214747364,0.836505044287531,"Menthol_Menthol_vs_Control"
